id,title,author,year
451,The Unsettling of America,Wendell Berry,1960
452,The Hero with a Thousand Faces,Joseph Campbell,1949
453,The Sickness Unto Death,Søren Kierkegaard,1849
454,The Age of Reason,Thomas Paine,1794
455,"Boswell's London Journal, 1762-1763",James Boswell,1763
456,Biographia Literaria,Samuel Taylor Coleridge,1817
457,Grundrisse: Foundations of the Critique of Political Economy,Karl Marx,1858
458,Areopagitica,John Milton,1644
459,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729
460,The Shock of the New,Robert Hughes,1980
461,Scepticism and Animal Faith,George Santayana,1923
462,Essays of Henry David Thoreau,Henry David Thoreau,1862
463,Symposium,Plato,-370
464,Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,1963
465,The life and letters of Benjamin Franklin,Benjamin Franklin,1790
466,Orientalism,Edward W. Said,1978
467,Catiline Orations,Marcus Tullius Cicero,-63
468,The Hasheesh Eater,Fitz Hugh Ludlow,1857
469,Black Elk Speaks,John G. Neihardt,1932
470,Man and His Symbols,Carl Gustav Jung,1964
471,The Confessions of Nat Turner,"Nat Turner, Thomas R. Gray",1831
472,The Year of Magical Thinking,Joan Didion,2005
473,Working,Studs Terkel,1974
474,Darkness Visible,William Styron,1989
475,The House of Morgan,Ron Chernow,1990
476,A Bright Shining Lie,Neil Sheehan,1988
477,In the American Grain,William Carlos Williams,1925
478,West With the Night,Beryl Markham,1942
479,Cadillac Desert,Marc Reisner,1986
480,James Joyce,Richard Ellmann,1983
481,The Sweet Science,A. J. Liebling,1956
482,The Rise of Theodore Roosevelt,Edmund Morris,1979
483,Religion And The Rise Of Capitalism,R. H. Tawney,1922
484,A Preface to Morals,Walter Lippmann,1929
485,The Journalist and the Murderer,Janet Malcolm,1990
486,Me Talk Pretty One Day,David Sedaris,2000
487,The Gate of Heavenly Peace,Jonathan D. Spence,1982
488,The Rise and Fall of the Third Reich,William L. Shirer,1960
489,The Strange Career of Jim Crow,C. Vann Woodward,1955
490,The Rise of the West,William H. McNeill,1991
491,The Gnostic Gospels,Elaine Pagels,1979
492,Florence Nightingale,Cecil Woodham-Smith,1983
493,The Road from Coorain,Jill Ker Conway,1989
494,Studies in Iconology,Erwin Panofsky,1939
495,The Strange Death of Liberal England,George Dangerfield,1935
496,Vermeer,Lawrence Gowing,1952
497,The American Political Tradition,Richard Hofstadter,1948
498,Contours of American History,William Appleman Williams,1961
499,The Promise of American Life,Herbert Croly,1909
500,The Taming of Chance,Ian Hacking,1990
501,Operating Instructions,Anne Lamott,1994
502,Melbourne,David Cecil,1954
503,Natural History,Pliny (the Elder),79
