id,title,author,avg_rating,ratings,url,img,pages,year
127,Life on the Mississippi,Mark Twain,3.89,"9,319",/book/show/99152.Life_on_the_Mississippi,https://d2arxad8u2l0g7.cloudfront.net/books/1309286211l/99152.jpg,384,1883
128,The Federalist Papers: Selected Essays,Alexander Hamilton,3.50,6,/book/show/16288832-the-federalist-papers,https://d2arxad8u2l0g7.cloudfront.net/books/1372053962l/16288832.jpg,6,1788
129,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.75,"139,244",/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,https://d2arxad8u2l0g7.cloudfront.net/books/1410136019l/629.jpg,540,1974
130,The Revolt of the Masses,José Ortega y Gasset,4.04,"2,083",/book/show/282447.The_Revolt_of_the_Masses,https://d2arxad8u2l0g7.cloudfront.net/books/1350432054l/282447.jpg,192,1929
131,The Making of the Atomic Bomb,Richard Rhodes,4.30,"12,045",/book/show/16884.The_Making_of_the_Atomic_Bomb,https://d2arxad8u2l0g7.cloudfront.net/books/1440621221l/16884.jpg,886,1988
132,Letters to a Young Poet,Rainer Maria Rilke,4.34,"27,863",/book/show/46199.Letters_to_a_Young_Poet,https://d2arxad8u2l0g7.cloudfront.net/books/1321994947l/46199.jpg,80,1934
133,The Enneads,Plotinus,really liked it 4.00,"1,844",/book/show/26252.The_Enneads,https://d2arxad8u2l0g7.cloudfront.net/books/1348312875l/26252.jpg,688,250
134,Harmonies Of The World,Johannes Kepler,4.14,79,/book/show/137200.Harmonies_Of_The_World,https://d2arxad8u2l0g7.cloudfront.net/books/1347262862l/137200.jpg,112,1619
135,Critique of Pure Reason,Immanuel Kant,3.90,"19,178",/book/show/18288.Critique_of_Pure_Reason,https://d2arxad8u2l0g7.cloudfront.net/books/1348663530l/18288.jpg,796,1781
136,Euclid's Elements,Euclid,4.26,"2,303",/book/show/214441.Euclid_s_Elements,https://d2arxad8u2l0g7.cloudfront.net/books/1386924722l/214441.jpg,499,-280
