id,title,author,avg_rating,ratings,url,img,pages,year
1041,Been in the Storm So Long: The Aftermath of Slavery,Leon F. Litwack,4.20,401,/book/show/57432.Been_in_the_Storm_So_Long,https://d2arxad8u2l0g7.cloudfront.net/books/1386923652l/57432.jpg,672,1979
1042,"Washington, Village and Capital, 1800-1878",Constance McLaughlin Green,liked it 3.00,2,/book/show/10471115-washington-village-and-capital-1800-1878,https://d2arxad8u2l0g7.cloudfront.net/books/1347628077l/10471115.jpg,68,1963
1043,"The Lion and the Throne: The Life and Times of Sir Edward Coke, 1552-1634",Catherine Drinker Bowen,4.23,22,/book/show/445338.The_Lion_and_the_Throne,https://d2arxad8u2l0g7.cloudfront.net/books/1384794428l/445338.jpg,672,1957
1044,The Significance of the Frontier in American History,Frederick Jackson Turner,3.40,108,/book/show/7184583-the-significance-of-the-frontier-in-american-history,https://d2arxad8u2l0g7.cloudfront.net/books/1347750997l/7184583.jpg,128,1933
1045,William Cooper's Town: Power and Persuasion on the Frontier of the Early American Republic,Alan Taylor,3.97,347,/book/show/594150.William_Cooper_s_Town,https://d2arxad8u2l0g7.cloudfront.net/books/1388209092l/594150.jpg,576,1995
1046,Becoming a Man: Half a Life Story,Paul Monette,4.13,"2,574",/book/show/290058.Becoming_a_Man,https://d2arxad8u2l0g7.cloudfront.net/books/1392595137l/290058.jpg,304,1992
1047,A Civil Action,Jonathan Harr,3.93,"11,344",/book/show/27397.A_Civil_Action,https://d2arxad8u2l0g7.cloudfront.net/books/1436324928l/27397.jpg,512,1996
1048,Sons of Mississippi: A Story of Race and Its Legacy,Paul Hendrickson,3.78,161,/book/show/11481.Sons_of_Mississippi,https://d2arxad8u2l0g7.cloudfront.net/books/1320492145l/11481.jpg,368,2002
1049,The Broken Cord,Michael Dorris,3.90,"1,188",/book/show/142839.The_Broken_Cord,https://d2arxad8u2l0g7.cloudfront.net/books/1348591745l/142839.jpg,320,1988
1050,We Are the Weather Makers: The History of Climate Change,Tim Flannery,3.87,131,/book/show/6650817-we-are-the-weather-makers,https://d2arxad8u2l0g7.cloudfront.net/books/1320403957l/6650817.jpg,320,2005
1051,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Erik Larson,3.98,"316,080",/book/show/21996.The_Devil_in_the_White_City,https://d2arxad8u2l0g7.cloudfront.net/books/1312066724l/21996.jpg,447,2003
1052,...the Heavens and the Earth: A Political History of the Space Age,Walter A. McDougall,4.09,116,/book/show/1012612._the_Heavens_and_the_Earth,https://d2arxad8u2l0g7.cloudfront.net/books/1348693051l/1012612.jpg,584,1986
1053,How We Die: Reflections of Life's Final Chapter,Sherwin B. Nuland,4.03,"5,021",/book/show/49286.How_We_Die,https://d2arxad8u2l0g7.cloudfront.net/books/1442641223l/49286.jpg,320,1994
